dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
impB_L3//a.mo0.none.wav,none,none,gu,sa,ji,sil,ga,ko,li,sil1,ñe,di,sil2
impB_L3//a.mo1.none.wav,none,none,do,ko,gu,sil,ji,sa,je,sil1,ñe,di,sil2
impB_L3//a.mo2.none.wav,none,none,di,ji,gu,sil,ka,ñe,sa,sil1,le,ko,sil2
impB_L3//a.mo3.1110.wav,1110,1110,li,ga,ka,sil,fu,mo,je,sil1,ko,chu,sil2
impB_L3//a.mo4.none.wav,none,none,le,do,ga,sil,chu,fu,sa,sil1,gu,ko,sil2
impB_L3//a.mo5.1110.wav,1110,1110,li,fu,di,sil,ñe,mo,ji,sil1,gu,ga,sil2
impB_L3//a.mo6.444.wav,444,444,je,ji,mo,sil,fu,gu,li,sil1,ko,sa,sil2
impB_L3//a.mo7.222.wav,222,222,ko,mo,li,sil,gu,ka,chu,sil1,do,fu,sil2
impB_L3//a.mo8.1998.wav,1998,1998,fu,di,ka,sil,sa,ji,ga,sil1,ko,mo,sil2
impB_L3//a.mo9.1332.wav,1332,1332,le,ji,chu,sil,ko,fu,mo,sil1,ka,do,sil2
impB_L3//a.mo10.none.wav,none,none,je,do,ñe,sil,ga,li,ko,sil1,fu,sa,sil2
impB_L3//a.mo11.none.wav,none,none,ñe,do,di,sil,gu,ga,ji,sil1,sa,ko,sil2
impB_L3//a.mo12.0.wav,0,0,mo,gu,ga,sil,ñe,ko,di,sil1,ji,ka,sil2
impB_L3//a.mo13.none.wav,none,none,do,ji,chu,sil,ko,ka,ñe,sil1,li,gu,sil2
impB_L3//a.mo14.none.wav,none,none,do,gu,di,sil,sa,ñe,ko,sil1,li,le,sil2
impB_L3//a.mo15.none.wav,none,none,ko,sa,gu,sil,chu,fu,ga,sil1,je,do,sil2
impB_L3//a.mo16.none.wav,none,none,gu,ka,do,sil,ji,je,sa,sil1,chu,di,sil2
impB_L3//a.mo17.none.wav,none,none,di,ka,gu,sil,li,ji,ko,sil1,chu,ñe,sil2
impB_L3//a.mo18.1776.wav,1776,1776,ga,ko,ka,sil,li,je,do,sil1,mo,sa,sil2
impB_L3//a.mo19.888.wav,888,888,di,gu,ko,sil,mo,ga,je,sil1,sa,le,sil2
