dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
Online_whatL2//a.go.du0.none.none.wav,none,none,fe,ñu,to,sil2,ra,ño,su,sil,ba,bi,sil1
Online_whatL2//a.go.du1.none.none.wav,none,none,fe,cha,me,sil2,ra,to,ñu,sil,ño,mi,sil1
Online_whatL2//a.go.du2.1110.1998.wav,1998,1110,te,bi,ñu,sil2,go,cha,mi,sil,du,to,sil1
Online_whatL2//a.go.du3.0.888.wav,888,0,go,te,me,sil,du,mi,cha,sil2,ba,ño,sil1
Online_whatL2//a.go.du4.none.none.wav,none,none,te,mi,cha,sil,fe,bi,ñu,sil1,ra,ba,sil2
Online_whatL2//a.go.du5.none.none.wav,none,none,fe,su,bi,sil,ra,te,to,sil1,ño,ñu,sil2
Online_whatL2//a.go.du6.888.1776.wav,1776,888,bi,su,cha,sil,go,te,ñu,sil1,du,me,sil2
Online_whatL2//a.go.du7.none.none.wav,none,none,fe,ñu,me,sil,ra,cha,to,sil1,si,su,sil2
Online_whatL2//a.go.du8.0.888.wav,888,0,go,su,mi,sil,du,ñu,ño,sil1,to,si,sil2
Online_whatL2//a.go.du9.none.none.wav,none,none,fe,ba,to,sil2,ra,mi,ño,sil,si,ñu,sil1
Online_whatL2//a.go.du10.0.888.wav,888,0,go,to,ño,sil,du,si,ba,sil2,ñu,me,sil1
Online_whatL2//a.go.du11.1110.1998.wav,1998,1110,si,me,to,sil2,go,su,te,sil,du,mi,sil1
Online_whatL2//a.go.du12.0.888.wav,888,0,go,su,cha,sil,du,to,te,sil2,me,mi,sil1
Online_whatL2//a.go.du13.none.none.wav,none,none,te,si,ño,sil2,fe,su,ñu,sil,ra,mi,sil1
Online_whatL2//a.go.du14.none.none.wav,none,none,bi,me,mi,sil2,fe,to,ñu,sil,ra,su,sil1
Online_whatL2//a.go.du15.0.888.wav,888,0,go,cha,mi,sil,du,ñu,to,sil1,ba,ño,sil2
Online_whatL2//a.go.du16.888.1776.wav,1776,888,cha,bi,mi,sil,go,me,to,sil1,du,ño,sil2
Online_whatL2//a.go.du17.888.1776.wav,1776,888,si,ño,bi,sil,go,te,ñu,sil1,du,su,sil2
Online_whatL2//a.go.du18.0.1110.wav,1110,0,go,cha,me,sil2,du,ño,ñu,sil,ba,mi,sil1
Online_whatL2//a.go.du19.1110.1998.wav,1998,1110,si,cha,ñu,sil2,go,mi,ño,sil,du,me,sil1
Online_whatL2//a.go.du20.none.none.wav,none,none,mi,ba,cha,sil,fe,to,ñu,sil1,ra,bi,sil2
Online_whatL2//a.go.du21.none.none.wav,none,none,ñu,ba,mi,sil,fe,cha,me,sil2,ra,bi,sil1
Online_whatL2//a.go.du22.888.1776.wav,1776,888,me,ño,cha,sil,go,te,ñu,sil1,du,to,sil2
Online_whatL2//a.go.du23.none.none.wav,none,none,fe,si,me,sil2,ra,mi,ba,sil,ño,ñu,sil1
Online_whatL2//a.go.du24.none.none.wav,none,none,me,cha,bi,sil,fe,ño,su,sil2,ra,to,sil1
Online_whatL2//a.go.du25.0.888.wav,888,0,go,bi,ñu,sil,du,mi,si,sil2,su,cha,sil1
Online_whatL2//a.go.du26.none.none.wav,none,none,fe,te,si,sil2,ra,ba,to,sil,su,bi,sil1
Online_whatL2//a.go.du27.none.none.wav,none,none,mi,cha,ba,sil,fe,bi,su,sil2,ra,ño,sil1
Online_whatL2//a.go.du28.0.888.wav,888,0,go,ñu,mi,sil,du,ba,ño,sil1,me,su,sil2
Online_whatL2//a.go.du29.none.none.wav,none,none,fe,ñu,mi,sil,ra,cha,su,sil2,te,bi,sil1
Online_whatL2//a.go.du30.888.1776.wav,1776,888,cha,me,te,sil,go,ba,mi,sil1,du,bi,sil2
Online_whatL2//a.go.du31.none.none.wav,none,none,cha,su,mi,sil,fe,ño,si,sil2,ra,te,sil1
Online_whatL2//b.fe.ra0.0.1110.wav,0,1110,fe,cha,ño,sil2,ra,te,me,sil,to,ñu,sil1
Online_whatL2//b.fe.ra1.0.1110.wav,0,1110,fe,bi,ño,sil2,ra,ba,cha,sil,ñu,to,sil1
Online_whatL2//b.fe.ra2.none.none.wav,none,none,go,cha,mi,sil2,du,to,bi,sil,ño,ba,sil1
Online_whatL2//b.fe.ra3.1110.1998.wav,1110,1998,si,ño,me,sil2,fe,ñu,cha,sil,ra,bi,sil1
Online_whatL2//b.fe.ra4.none.none.wav,none,none,go,te,to,sil2,du,ño,me,sil,su,cha,sil1
Online_whatL2//b.fe.ra5.888.1776.wav,888,1776,ñu,ño,mi,sil,fe,me,ba,sil1,ra,te,sil2
Online_whatL2//b.fe.ra6.none.none.wav,none,none,si,su,te,sil2,go,ba,mi,sil,du,ñu,sil1
Online_whatL2//b.fe.ra7.none.none.wav,none,none,go,cha,me,sil,du,bi,te,sil1,ñu,su,sil2
Online_whatL2//b.fe.ra8.1110.1998.wav,1110,1998,si,me,bi,sil2,fe,te,ba,sil,ra,mi,sil1
Online_whatL2//b.fe.ra9.none.none.wav,none,none,go,mi,bi,sil,du,to,te,sil1,ño,si,sil2
